key	title	seat_d103	entry_no	watkins_band	watkins_list1	watkins_list2	watkins_cat_total	watkins_cat_survey	watkins_cat_additional	watkins_cat_cols	watkins_grade_years	miller_band	miller_calls	miller_rank
whatisthisthingcalledlove	What Is This Thing Called Love?	1A	64	List 1 (23)	23						Junior	Top 201	19	24
worksong	Work Song	1A	65									Top 201	13	48
yesterdays	Yesterdays	1A	66	List 1 (17)	17						Junior	Top 201	6	94
youdontknowwhatloveis	You Don't Know What Love Is	1A	67	List 1 (14)	14						Junior	Top 201	14	44
yousteppedoutofadream	You Stepped Out of a Dream	1A	68	List 1 (10)	10						Junior	Top 201	1	207
allblues	All Blues	1A	69	List 1 (12)	12		18	12	6	Blues	Sophomore	Top 25	18	27
auprivave	Au Privave	1A	70	List 2 (7)		7	12	7	5	BebopBlues	Junior	Top 201	5	110
bagsgroove	Bags' Groove	1A	71	List 2 (7)		7	10	7	3	RiffBlues	Freshman	Top 201	16	37
billiesbounce	Billie’s Bounce	1A	72	List 1 (17)	17		25	17	8	BebopBlues	Sophomore	Top 10	37	6
bluesforalice	Blues For Alice	1A	73	List 1 (10)	10		15	10	5	BebopBlues	Sophomore|Junior	Top 201	5	110
bluemonk	Blue Monk	1A	74	List 1 (11)	11		18	11	7	RiffBlues	Freshman	Top 25	19	24
freddiefreeloader	Freddie Freeloader	1A	75	List 2 (8)		8	7	3	4	Blues	Freshman	Top 201	13	48
nowsthetime	Now's the Time	1A	76	List 1 (10)	10		17	10	7	BebopBlues	Freshman	Top 201	2	163
sandu	Sandu	1A	77	categorical (5)			5	2	3	Blues		Top 201	8	79
sonnymoonfortwo	Sonnymoon For Two	1A	78	List 2 (8)		8	11	8	3	RiffBlues	Freshman			
straightnochaser	Straight No Chaser	1A	79	List 1 (13)	13		19	13	6	BebopBlues	Freshman	Top 201	7	86
tenormadness	Tenor Madness	1A	80	List 2 (9)		9	16	9	7	RiffBlues	Freshman	Top 201	12	52
blueswalk	The Blues Walk	1A	81	categorical (5)			5	3	2	RiffBlues				
thingsaintwhattheyusedtobe	Things Ain't What They Used to Be	1A	82	List 2 (5)		5	10	4	6	RiffBlues	Freshman	Top 201		
walkin	Walkin'	1A	83	List 2 (5)		5	8	5	3	Blues	Freshman	Top 201	1	207
bluetrane	Blue Trane	1A	84	categorical (9)			9	2	7	Blues		Top 201	4	124
equinox	Equinox	1A	85	List 2 (5)		5	8	5	3	MinorBlues	Freshman	Top 201	12	52
footprints	Footprints	1A	86	List 1 (15)	15		21	15	6	MinorBlues	Sophomore	Top 201	16	37
